N,nx,ny,nz,variante,media_s,speedup_mean,mediana_s,speedup_median,erro_max
27,3,3,3,Base,0.000027,1.0000,0.000025,1.0000,0.00e+00
27,3,3,3,OpenMP,0.000025,1.0707,0.000024,1.0174,4.56e-16
27,3,3,3,AVX256,0.000027,0.9918,0.000026,0.9497,2.92e-16
27,3,3,3,AVX512,0.000021,1.2479,0.000021,1.1962,2.92e-16
27,3,3,3,Highway256,0.000024,1.1172,0.000024,1.0522,2.92e-16
27,3,3,3,Highway512,0.000020,1.3065,0.000021,1.2065,2.92e-16
2197,13,13,13,Base,0.004644,1.0000,0.004654,1.0000,0.00e+00
2197,13,13,13,OpenMP,0.004688,0.9907,0.004649,1.0011,6.74e-16
2197,13,13,13,AVX256,0.004987,0.9314,0.004965,0.9374,8.21e-16
2197,13,13,13,AVX512,0.004006,1.1594,0.003994,1.1654,8.21e-16
2197,13,13,13,Highway256,0.004766,0.9745,0.004766,0.9765,8.21e-16
2197,13,13,13,Highway512,0.004086,1.1365,0.004083,1.1398,8.21e-16
12167,23,23,23,Base,0.029631,1.0000,0.029502,1.0000,0.00e+00
12167,23,23,23,OpenMP,0.029430,1.0068,0.029211,1.0099,9.02e-16
12167,23,23,23,AVX256,0.030748,0.9637,0.030676,0.9617,8.21e-16
12167,23,23,23,AVX512,0.024777,1.1959,0.024687,1.1950,8.21e-16
12167,23,23,23,Highway256,0.028079,1.0553,0.027398,1.0768,8.21e-16
12167,23,23,23,Highway512,0.024593,1.2049,0.024560,1.2012,8.21e-16
35937,33,33,33,Base,0.091446,1.0000,0.090755,1.0000,0.00e+00
35937,33,33,33,OpenMP,0.092648,0.9870,0.091080,0.9964,9.02e-16
35937,33,33,33,AVX256,0.095564,0.9569,0.094629,0.9591,8.21e-16
35937,33,33,33,AVX512,0.079125,1.1557,0.078104,1.1620,8.21e-16
35937,33,33,33,Highway256,0.085356,1.0713,0.084368,1.0757,8.21e-16
35937,33,33,33,Highway512,0.078615,1.1632,0.078001,1.1635,8.21e-16
79507,43,43,43,Base,0.216578,1.0000,0.215551,1.0000,0.00e+00
79507,43,43,43,OpenMP,0.220907,0.9804,0.218998,0.9843,9.02e-16
79507,43,43,43,AVX256,0.226802,0.9549,0.226089,0.9534,8.21e-16
79507,43,43,43,AVX512,0.178621,1.2125,0.177112,1.2170,8.21e-16
