N,nx,ny,nz,variante,media_s,speedup_mean,mediana_s,speedup_median,erro_max
8000,20,20,20,Base,0.017844,1.0000,0.017819,1.0000,0.00e+00
8000,20,20,20,OpenMP,0.017675,1.0095,0.017656,1.0093,2.71e-15
8000,20,20,20,AVX256,0.016750,1.0653,0.016734,1.0649,0.00e+00
8000,20,20,20,AVX512,0.016695,1.0688,0.016688,1.0678,0.00e+00
8000,20,20,20,Highway,0.016621,1.0736,0.016614,1.0725,0.00e+00
64000,40,40,40,Base,0.159693,1.0000,0.157008,1.0000,0.00e+00
64000,40,40,40,OpenMP,0.154157,1.0359,0.153681,1.0216,2.71e-15
64000,40,40,40,AVX256,0.146232,1.0920,0.146075,1.0748,0.00e+00
64000,40,40,40,AVX512,0.145868,1.0948,0.145801,1.0769,0.00e+00
64000,40,40,40,Highway,0.145221,1.0997,0.144982,1.0829,0.00e+00
216000,60,60,60,Base,0.552694,1.0000,0.546516,1.0000,0.00e+00
216000,60,60,60,OpenMP,0.542825,1.0182,0.541205,1.0098,2.71e-15
216000,60,60,60,AVX256,0.522066,1.0587,0.516656,1.0578,0.00e+00
216000,60,60,60,AVX512,0.519836,1.0632,0.518604,1.0538,0.00e+00
216000,60,60,60,Highway,0.517035,1.0690,0.515987,1.0592,0.00e+00
512000,80,80,80,Base,1.325690,1.0000,1.314244,1.0000,0.00e+00
512000,80,80,80,OpenMP,1.301124,1.0189,1.302277,1.0092,2.71e-15
512000,80,80,80,AVX256,1.242398,1.0670,1.243162,1.0572,0.00e+00
512000,80,80,80,AVX512,1.249240,1.0612,1.249607,1.0517,0.00e+00
512000,80,80,80,Highway,1.238772,1.0702,1.240353,1.0596,0.00e+00
1000000,100,100,100,Base,2.652761,1.0000,2.618997,1.0000,0.00e+00
1000000,100,100,100,OpenMP,2.576283,1.0297,2.576957,1.0163,2.71e-15
1000000,100,100,100,AVX256,2.458501,1.0790,2.458500,1.0653,0.00e+00
1000000,100,100,100,AVX512,2.476606,1.0711,2.478262,1.0568,0.00e+00
1000000,100,100,100,Highway,2.456659,1.0798,2.457696,1.0656,0.00e+00
1728000,120,120,120,Base,4.640635,1.0000,4.557375,1.0000,0.00e+00
1728000,120,120,120,OpenMP,4.471654,1.0378,4.473222,1.0188,2.71e-15
1728000,120,120,120,AVX256,4.277101,1.0850,4.278561,1.0652,0.00e+00
1728000,120,120,120,AVX512,4.302159,1.0787,4.305662,1.0585,0.00e+00
1728000,120,120,120,Highway,4.263391,1.0885,4.265602,1.0684,0.00e+00
2744000,140,140,140,Base,7.279883,1.0000,7.234861,1.0000,0.00e+00
2744000,140,140,140,OpenMP,7.157367,1.0171,7.159996,1.0105,2.71e-15
2744000,140,140,140,AVX256,6.842956,1.0639,6.846287,1.0568,0.00e+00
2744000,140,140,140,AVX512,6.894494,1.0559,6.901333,1.0483,0.00e+00
2744000,140,140,140,Highway,6.833356,1.0653,6.838366,1.0580,0.00e+00
4096000,160,160,160,Base,10.857112,1.0000,10.849552,1.0000,0.00e+00
4096000,160,160,160,OpenMP,10.756053,1.0094,10.756846,1.0086,2.71e-15
4096000,160,160,160,AVX256,10.259060,1.0583,10.261222,1.0573,0.00e+00
4096000,160,160,160,AVX512,10.338200,1.0502,10.349437,1.0483,0.00e+00
4096000,160,160,160,Highway,10.243978,1.0599,10.246732,1.0588,0.00e+00
