N,nx,ny,nz,variante,media_s,speedup_mean,mediana_s,speedup_median,erro_max
8000,20,20,20,Base,0.000789,1.0000,0.000783,1.0000,0.00e+00
8000,20,20,20,OpenMP,0.000825,0.9574,0.000820,0.9546,0.00e+00
8000,20,20,20,AVX256,0.000633,1.2465,0.000625,1.2522,9.10e-16
8000,20,20,20,AVX512,0.000626,1.2614,0.000617,1.2692,9.62e-16
8000,20,20,20,Highway,0.000691,1.1425,0.000682,1.1476,9.10e-16
64000,40,40,40,Base,0.006870,1.0000,0.006833,1.0000,0.00e+00
64000,40,40,40,OpenMP,0.007221,0.9513,0.007174,0.9525,0.00e+00
64000,40,40,40,AVX256,0.006049,1.1356,0.006009,1.1370,8.90e-16
64000,40,40,40,AVX512,0.005992,1.1465,0.005948,1.1487,9.64e-16
64000,40,40,40,Highway,0.006214,1.1055,0.006174,1.1067,8.90e-16
216000,60,60,60,Base,0.023719,1.0000,0.023663,1.0000,0.00e+00
216000,60,60,60,OpenMP,0.024996,0.9489,0.024880,0.9511,0.00e+00
216000,60,60,60,AVX256,0.021196,1.1190,0.021045,1.1244,9.19e-16
216000,60,60,60,AVX512,0.020951,1.1322,0.020904,1.1320,9.64e-16
216000,60,60,60,Highway,0.021597,1.0983,0.021511,1.1001,9.19e-16
512000,80,80,80,Base,0.058576,1.0000,0.058188,1.0000,0.00e+00
512000,80,80,80,OpenMP,0.061127,0.9583,0.060632,0.9597,0.00e+00
512000,80,80,80,AVX256,0.052347,1.1190,0.052310,1.1124,9.33e-16
512000,80,80,80,AVX512,0.052736,1.1107,0.051917,1.1208,9.86e-16
512000,80,80,80,Highway,0.053903,1.0867,0.052939,1.0991,9.33e-16
1000000,100,100,100,Base,0.112249,1.0000,0.111406,1.0000,0.00e+00
1000000,100,100,100,OpenMP,0.117557,0.9548,0.116752,0.9542,0.00e+00
1000000,100,100,100,AVX256,0.101471,1.1062,0.099939,1.1147,9.30e-16
1000000,100,100,100,AVX512,0.100312,1.1190,0.099323,1.1217,9.83e-16
1000000,100,100,100,Highway,0.102344,1.0968,0.101147,1.1014,9.30e-16
1728000,120,120,120,Base,0.190695,1.0000,0.190583,1.0000,0.00e+00
1728000,120,120,120,OpenMP,0.201928,0.9444,0.200948,0.9484,0.00e+00
1728000,120,120,120,AVX256,0.172352,1.1064,0.172078,1.1075,9.26e-16
1728000,120,120,120,AVX512,0.170920,1.1157,0.170835,1.1156,9.75e-16
1728000,120,120,120,Highway,0.174342,1.0938,0.174198,1.0941,9.26e-16
2744000,140,140,140,Base,0.301785,1.0000,0.301542,1.0000,0.00e+00
2744000,140,140,140,OpenMP,0.317866,0.9494,0.317773,0.9489,0.00e+00
2744000,140,140,140,AVX256,0.272765,1.1064,0.272673,1.1059,9.25e-16
2744000,140,140,140,AVX512,0.271135,1.1130,0.271072,1.1124,9.64e-16
2744000,140,140,140,Highway,0.276190,1.0927,0.276168,1.0919,9.25e-16
4096000,160,160,160,Base,0.449544,1.0000,0.449538,1.0000,0.00e+00
4096000,160,160,160,OpenMP,0.473141,0.9501,0.473042,0.9503,0.00e+00
4096000,160,160,160,AVX256,0.406652,1.1055,0.406450,1.1060,9.24e-16
4096000,160,160,160,AVX512,0.405025,1.1099,0.404834,1.1104,9.64e-16
4096000,160,160,160,Highway,0.412108,1.0908,0.412069,1.0909,9.24e-16
5832000,180,180,180,Base,0.639588,1.0000,0.639460,1.0000,0.00e+00
5832000,180,180,180,OpenMP,0.672998,0.9504,0.672912,0.9503,0.00e+00
5832000,180,180,180,AVX256,0.581587,1.0997,0.581553,1.0996,9.37e-16
5832000,180,180,180,AVX512,0.579757,1.1032,0.579501,1.1035,9.88e-16
5832000,180,180,180,Highway,0.587499,1.0887,0.587384,1.0887,9.37e-16
8000000,200,200,200,Base,0.874762,1.0000,0.874525,1.0000,0.00e+00
8000000,200,200,200,OpenMP,0.917235,0.9537,0.917186,0.9535,0.00e+00
8000000,200,200,200,AVX256,0.799542,1.0941,0.799583,1.0937,9.36e-16
8000000,200,200,200,AVX512,0.798179,1.0959,0.798120,1.0957,9.88e-16
8000000,200,200,200,Highway,0.808255,1.0823,0.808051,1.0823,9.36e-16
