N,nx,ny,nz,variante,media_s,speedup_mean,mediana_s,speedup_median,erro_max
8000,20,20,20,Base,0.000815,1.0000,0.000791,1.0000,0.00e+00
8000,20,20,20,OpenMP,0.000945,0.8625,0.000928,0.8525,0.00e+00
8000,20,20,20,AVX256,0.000618,1.3181,0.000614,1.2873,6.66e-16
8000,20,20,20,AVX512,0.000611,1.3340,0.000607,1.3017,6.66e-16
8000,20,20,20,Highway,0.000637,1.2788,0.000642,1.2316,6.66e-16
64000,40,40,40,Base,0.007159,1.0000,0.007111,1.0000,0.00e+00
64000,40,40,40,OpenMP,0.008187,0.8745,0.008132,0.8744,0.00e+00
64000,40,40,40,AVX256,0.005684,1.2595,0.005631,1.2626,6.66e-16
64000,40,40,40,AVX512,0.005604,1.2776,0.005558,1.2793,6.66e-16
64000,40,40,40,Highway,0.005784,1.2378,0.005715,1.2442,6.66e-16
216000,60,60,60,Base,0.024938,1.0000,0.024885,1.0000,0.00e+00
216000,60,60,60,OpenMP,0.028455,0.8764,0.028297,0.8794,0.00e+00
216000,60,60,60,AVX256,0.019781,1.2607,0.019745,1.2603,6.66e-16
216000,60,60,60,AVX512,0.019550,1.2756,0.019520,1.2749,6.66e-16
216000,60,60,60,Highway,0.020107,1.2403,0.020026,1.2426,6.66e-16
512000,80,80,80,Base,0.059339,1.0000,0.059013,1.0000,0.00e+00
512000,80,80,80,OpenMP,0.067786,0.8754,0.067600,0.8730,0.00e+00
512000,80,80,80,AVX256,0.047116,1.2594,0.046897,1.2583,6.66e-16
512000,80,80,80,AVX512,0.046766,1.2689,0.046610,1.2661,6.66e-16
512000,80,80,80,Highway,0.047236,1.2562,0.047143,1.2518,6.66e-16
1000000,100,100,100,Base,0.115371,1.0000,0.115311,1.0000,0.00e+00
1000000,100,100,100,OpenMP,0.132706,0.8694,0.132648,0.8693,0.00e+00
1000000,100,100,100,AVX256,0.091025,1.2675,0.090960,1.2677,6.66e-16
1000000,100,100,100,AVX512,0.090416,1.2760,0.090272,1.2774,6.66e-16
1000000,100,100,100,Highway,0.091179,1.2653,0.091036,1.2667,6.66e-16
1728000,120,120,120,Base,0.199176,1.0000,0.199087,1.0000,0.00e+00
1728000,120,120,120,OpenMP,0.229997,0.8660,0.229647,0.8669,0.00e+00
1728000,120,120,120,AVX256,0.156881,1.2696,0.156787,1.2698,6.66e-16
1728000,120,120,120,AVX512,0.155578,1.2802,0.155474,1.2805,6.66e-16
1728000,120,120,120,Highway,0.156161,1.2755,0.156056,1.2757,6.66e-16
2744000,140,140,140,Base,0.316035,1.0000,0.315647,1.0000,0.00e+00
2744000,140,140,140,OpenMP,0.364333,0.8674,0.364176,0.8667,0.00e+00
2744000,140,140,140,AVX256,0.253636,1.2460,0.253526,1.2450,6.66e-16
2744000,140,140,140,AVX512,0.252257,1.2528,0.252176,1.2517,6.66e-16
2744000,140,140,140,Highway,0.250999,1.2591,0.250890,1.2581,6.66e-16
4096000,160,160,160,Base,0.474696,1.0000,0.474322,1.0000,0.00e+00
4096000,160,160,160,OpenMP,0.544602,0.8716,0.544470,0.8712,0.00e+00
4096000,160,160,160,AVX256,0.392368,1.2098,0.392282,1.2091,6.66e-16
4096000,160,160,160,AVX512,0.391155,1.2136,0.390973,1.2132,6.66e-16
4096000,160,160,160,Highway,0.387982,1.2235,0.387880,1.2229,6.66e-16
5832000,180,180,180,Base,0.680162,1.0000,0.680103,1.0000,0.00e+00
5832000,180,180,180,OpenMP,0.775422,0.8772,0.775353,0.8772,0.00e+00
5832000,180,180,180,AVX256,0.570264,1.1927,0.570282,1.1926,6.66e-16
5832000,180,180,180,AVX512,0.567562,1.1984,0.567532,1.1984,6.66e-16
5832000,180,180,180,Highway,0.562880,1.2084,0.562850,1.2083,6.66e-16
8000000,200,200,200,Base,0.936835,1.0000,0.936688,1.0000,0.00e+00
8000000,200,200,200,OpenMP,1.065249,0.8795,1.064985,0.8795,0.00e+00
8000000,200,200,200,AVX256,0.790422,1.1852,0.790227,1.1853,6.66e-16
8000000,200,200,200,AVX512,0.787545,1.1896,0.787459,1.1895,6.66e-16
8000000,200,200,200,Highway,0.780700,1.2000,0.780563,1.2000,6.66e-16
